_id,Category,Licence No.,Operating Name,Issued,Client Name,Business Phone,Business Phone Ext.,Licence Address Line 1,Licence Address Line 2,Licence Address Line 3,Ward,Conditions,Free Form Conditions Line 1,Free Form Conditions Line 2,Plate No.,Endorsements,Cancel Date,Last Record Update
22549,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-5304721,TIM HORTONS,2023-02-07,THE TDL GROUP CORP,,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,NO SEATING ACCOMMODATION;There are additional historical conditions (contact the City of Toronto for details),Former Zoning By-law/Designation 468-86 - (1994-0806):,Commercial Residential: take-out restaurant - q7 permitted,,REFRESHMENTS;,2024-05-02,2024-05-02
23480,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-5310757,SPICY CELERY FRIED RICE NOODLE,2023-03-24,2761675 ONTARIO INC,,,261 SPADINA AVE,"TORONTO, ON",M5T 2E3,10,NO SEATING ACCOMMODATION;SHARED ADDRESS;,,,,EATING/DRINKING;,2025-05-02,2025-05-02
25842,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4308702,7-ELEVEN,2013-05-15,7-ELEVEN CANADA INC,9728286888,,372 BAY ST,"TORONTO, ON",M5H 2W9,10,NO SEATING ACCOMMODATION;,,,,"CIGARS, CIGARETTES & TOBACCO;VAPOUR PRODUCTS (UNREGISTERED);EATING/DRINKING;",,2026-05-08
26275,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4647213,EDO SUSHI,2016-04-13,EDO SUSHI INC,4163227699,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,NO SEATING ACCOMMODATION;,,,,EATING/DRINKING;,,2025-02-27
26281,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4647700,241 PIZZA,2016-04-20,1572830 ONTARIO INC,4168169537,,142 PARLIAMENT ST,"TORONTO, ON",M5A 2Z1,13,NO SEATING ACCOMMODATION;,,,,EATING/DRINKING;,,2026-03-16
27098,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4936019,TICANA,2019-07-12,"BILONDA,JUSTINE/UZOIGWE,NATHALIE CHIOMA",6473401487,,440 DUNDAS ST E,"TORONTO, ON",M5A 2A8,13,NO SEATING ACCOMMODATION;,,,,EATING/DRINKING;,,2025-08-15
27577,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-5111334,8MILE DETROIT STYLE PIZZA,2021-04-20,8MILE PIZZA INC,,,9 CHARLES ST W,"TORONTO, ON",M4Y 1R4,13,,,,,EATING/DRINKING;,,2025-03-17
29965,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-5513632,6IX DONUTZ,2025-02-28,6IX DONUTZ LTD,,,83 PORTLAND ST,"TORONTO, ON",M5V 2M9,10,,,,,TAKE-OUT OR RETAIL FOOD;,,2026-03-27
30992,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-5619456,BAY ST. DELI,2026-04-10,CHAI CATERING INC,,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,SHARED ADDRESS;,,,,TAKE-OUT OR RETAIL FOOD;EATING/DRINKING;,,2026-04-14
37090,PERSONAL SERVICES SETTINGS,B56-4687740,H&CO SALON,2016-12-14,2257095 ONTARIO INC,,,83 PORTLAND ST,"TORONTO, ON",M5V 2M9,10,,,,,HAIRSTYLING;,2022-05-14,2022-11-21
56415,PUBLIC GARAGE,B68-5222994,ALPHASHINE FD,2022-10-28,ALPHASHINE FD INC,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,,PARKING LEVEL 1 AND LEVEL 2,,,CAR WASH - MANUAL;,,2025-10-24
57389,ENTERTAINMENT PLACE OF ASSEMBLY,B70-3598043,ROGERS CENTRE,2005-08-12,ROGERS SPORTS HOLDINGS INC,,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,SEATING CAPACITY OVER 30;,,,,ENTERTAINMENT PLACE OF ASSEMBLY;,2007-09-05,2008-03-03
57569,ENTERTAINMENT PLACE OF ASSEMBLY,B70-3728482,ROGERS CENTRE,2008-02-20,ROGERS STADIUM LIMITED PARTNERSHIP,,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,SEATING CAPACITY OVER 30;,,,,ENTERTAINMENT PLACE OF ASSEMBLY;,2020-02-20,2022-02-01
57653,ENTERTAINMENT PLACE OF ASSEMBLY,B70-3089719,MAPLE LEAF SPORTS & ENTERTAINMENT LTD,1999-01-29,MAPLE LEAF SPORTS & ENTERTAINMENT LTD,,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,SEATING CAPACITY OVER 30;,"TO ACCOMMODATE UP TO 20,000 PEOPLE",,,ENTERTAINMENT PLACE OF ASSEMBLY;EATING/DRINKING;,,2026-02-03
59742,EATING OR DRINKING ESTABLISHMENT,B71-3593247,INDIAN MOTORCYCLE CAFE & LOUNGE,2005-08-02,1289925 ONTARIO INC,,,355 KING ST W,"TORONTO, ON",M5V 1J6,10,SEATING CAPACITY OVER 30;SHARED ADDRESS;,SIX BILLIARD TABLES./ TO INCLUDE OUTSIDE PATIO,,,"CIGARS, CIGARETTES & TOBACCO;VICTUALLING;BILLIARDS;",2006-11-02,2010-06-20
61561,EATING OR DRINKING ESTABLISHMENT,B71-3597551,OLD SPADINA AVE,2006-05-17,"SILVER, MICHAEL LAWRENCE",,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,NO SEATING ACCOMMODATION;,LOCATED IN THE AIR CANADA CENTRE - 100 LEVEL,,,REFRESHMENTS;,2007-11-08,2009-01-09
61562,EATING OR DRINKING ESTABLISHMENT,B71-3597554,OLD SPADINA AVE,2006-05-17,"SILVER, MICHAEL LAWRENCE",,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,,LOCATED IN AIR CANADA CENTRE - 300 LEVEL,,,REFRESHMENTS;,2007-11-08,2008-09-29
61563,EATING OR DRINKING ESTABLISHMENT,B71-3597556,OLD SPADINA AVE,2006-05-17,"SILVER, MICHAEL LAWRENCE",,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,NO SEATING ACCOMMODATION;,LOCATED IN ROGERS CENTRE - 100 LEVEL,,,REFRESHMENTS;,2007-11-08,2008-03-03
63050,EATING OR DRINKING ESTABLISHMENT,B71-3474673,COFFEE TIME,2004-04-23,AHPB INC,,,142 PARLIAMENT ST,"TORONTO, ON",M5A 2Z1,13,SEATING CAPACITY UNDER 40;,,,,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",2008-10-07,2009-03-02
63585,EATING OR DRINKING ESTABLISHMENT,B71-3105566,,2000-01-25,ONTARIO SPORTSERVICE INC,,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,NO SEATING ACCOMMODATION;CHAIN;,LICENSE REFLECTS ALL FOOD & BEVERAGE OPERATIONS LOCATED AT,1 BLUE JAYS WAY & OPERATED BY ONTARIO SPORTSERVICE INC.,,REFRESHMENTS;,2009-01-23,2009-10-29
63619,EATING OR DRINKING ESTABLISHMENT,B71-3483828,7 ELEVEN,2004-11-01,7-ELEVEN CANADA INC,,,372 BAY ST,"TORONTO, ON",M5H 2W9,10,CHAIN;NO SEATING ACCOMMODATION;,AS PER BY-LAW NO 438-86,,,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;FOODSTUFFS;",2009-02-01,2009-12-30
65062,EATING OR DRINKING ESTABLISHMENT,B71-3842913,OLD SPADINA AVE (KOSHER),2008-10-22,"SILVER, MICHAEL LAWRENCE",,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,NO SEATING ACCOMMODATION;,LOCATED IN THE AIR CANADA CENTRE - 100 LEVEL,,,REFRESHMENTS;,2010-01-22,2011-03-29
65063,EATING OR DRINKING ESTABLISHMENT,B71-3842915,OLD SPADINA AVE (KOSHER),2008-10-22,"SILVER, MICHAEL LAWRENCE",,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,NO SEATING ACCOMMODATION;,LOCATED IN AIR CANADA CENTRE - 300 LEVEL,,,REFRESHMENTS;,2010-01-22,2011-02-25
65721,EATING OR DRINKING ESTABLISHMENT,B71-3108310,SUBWAY,2000-05-11,1326758 ONTARIO LTD,,,250 DUNDAS ST W,"TORONTO, ON",M5T 2Z5,11,SEATING CAPACITY UNDER 40;SHARED ADDRESS;,,,,VICTUALLING;,2010-06-28,2010-06-28
66143,EATING OR DRINKING ESTABLISHMENT,B71-3954797,GOURMET BURGER SJJ,2010-01-13,1795834 ONTARIO INC,,,9 CHARLES ST W,"TORONTO, ON",M4Y 1R4,13,NO SEATING ACCOMMODATION;,TO INCLUDE PATIO ON PRIVATE PROPERTY,,,REFRESHMENTS;,2010-10-21,2010-10-21
66688,EATING OR DRINKING ESTABLISHMENT,B71-3947504,COFFEE TIME,2009-01-26,AHPB INC,,,142 PARLIAMENT ST,"TORONTO, ON",M5A 2Z1,13,SEATING CAPACITY UNDER 40;,,,,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;",2011-03-04,2011-03-04
68229,EATING OR DRINKING ESTABLISHMENT,B71-3594070,WING HOUSE & SPORTS BAR,2005-06-10,ACEBRIDGE INTERNATIONAL LTD,,,630 DANFORTH AVE,"TORONTO, ON",M4K 1R3,14,SEATING CAPACITY OVER 30;,""" ONE BILLIARD TABLE """,,,"CIGARS, CIGARETTES & TOBACCO;VICTUALLING;BILLIARDS;",2012-03-13,2012-03-13
69397,EATING OR DRINKING ESTABLISHMENT,B71-3596339,SIMON SUSHI,2005-09-16,1659061 ONTARIO INC,,,409 SPADINA AVE,"TORONTO, ON",M5T 2G6,11,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2012-12-17,2013-03-14
69530,EATING OR DRINKING ESTABLISHMENT,B71-4074150,GOURMET BURGER,2010-10-21,2249750 ONTARIO INC,,,9 CHARLES ST W,"TORONTO, ON",M4Y 1R4,13,NO SEATING ACCOMMODATION;,TO INCLUDE PATIO ON PRIVATE PROPERTY,,,REFRESHMENTS;,2013-01-21,2013-04-11
70038,EATING OR DRINKING ESTABLISHMENT,B71-3950569,7-ELEVEN,2009-10-06,7-ELEVEN CANADA INC,,,372 BAY ST,"TORONTO, ON",M5H 2W9,10,CHAIN;NO SEATING ACCOMMODATION;,AS PER BY-LAW NO 438-86,,,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;FOODSTUFFS;",2013-05-15,2013-05-15
71762,EATING OR DRINKING ESTABLISHMENT,B71-4305791,GOURMET BURGER ENTERPRISES,2013-03-06,1870449 ONTARIO INC,,,9 CHARLES ST W,"TORONTO, ON",M4Y 1R4,13,NO SEATING ACCOMMODATION;CHAIN;,TO INCLUDE PATIO ON PRIVATE PROPERTY,,,REFRESHMENTS;,2014-06-06,2014-10-02
72274,EATING OR DRINKING ESTABLISHMENT,B71-3089483,CANTINE BAR & GRILL,1998-10-15,CANTINE BAR & GRILL INC,,,138 AVENUE RD,"TORONTO, ON",M5R 2H6,11,SEATING CAPACITY UNDER 40;,,,,REFRESHMENTS;,2014-10-06,2014-11-02
73204,EATING OR DRINKING ESTABLISHMENT,B71-4178889,COFFEE TIME,2011-03-04,1843499 ONTARIO INC,,,142 PARLIAMENT ST,"TORONTO, ON",M5A 2Z1,13,SEATING CAPACITY UNDER 40;,,,,REFRESHMENTS;,2015-06-04,2016-05-02
73780,EATING OR DRINKING ESTABLISHMENT,B71-4069915,WABORA,2010-07-20,2213515 ONTARIO INC,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,SEATING CAPACITY OVER 30;PATIO ON PRIVATE PROPERTY - FRONT;,,,,VICTUALLING;,2015-10-20,2016-07-02
73939,EATING OR DRINKING ESTABLISHMENT,B71-4178557,SEVEN GRAMS ESPRESSO BAR,2011-02-24,2174769 ONTARIO INC,,,131 AVENUE RD,"TORONTO, ON",M5R 2H7,11,SEATING CAPACITY UNDER 40;CAFE ON PUBLIC PROPERTY - SIDE;,,,,REFRESHMENTS;,2015-11-30,2015-12-02
74185,EATING OR DRINKING ESTABLISHMENT,B71-4428535,CANTINE BAR & GRILL,2014-10-06,CANTINE BAR & GRILL INC,,,138 AVENUE RD,"TORONTO, ON",M5R 2H6,11,SEATING CAPACITY UNDER 40;,,,,REFRESHMENTS;,2016-02-08,2016-02-08
74623,EATING OR DRINKING ESTABLISHMENT,B71-3135187,SPRINGROLLS AT ST LAWRENCE MARKET,2002-04-26,THAI PAN RESTAURANT INC,,,85 FRONT ST E,"TORONTO, ON",M5E 1B8,13,SEATING CAPACITY OVER 30;SHARED ADDRESS;,""" TO INCLUDE OUTSIDE PATIO 20 SEATS """,,,VICTUALLING;,2016-06-13,2016-06-13
74800,EATING OR DRINKING ESTABLISHMENT,B71-4533960,MASTER MIX GROUP,2015-04-29,8034311 CANADA INC,,,261 SPADINA AVE,"TORONTO, ON",M5T 2E3,10,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2016-07-30,2017-05-21
75429,EATING OR DRINKING ESTABLISHMENT,B71-4291087,WING HOUSE&SPORTS BAR,2012-03-13,1834398 ONTARIO LTD,,,630 DANFORTH AVE,"TORONTO, ON",M4K 1R3,14,SEATING CAPACITY OVER 30;,""" ONE BILLIARD TABLE """,,,VICTUALLING;BILLIARDS;,2017-01-30,2017-10-02
75532,EATING OR DRINKING ESTABLISHMENT,B71-4543997,5 ELEMENTS,2015-12-02,"LAMANNA, CARMELINA",,,131 AVENUE RD,"TORONTO, ON",M5R 2H7,11,SEATING CAPACITY UNDER 40;,,,,REFRESHMENTS;,2017-03-04,2017-06-02
75758,EATING OR DRINKING ESTABLISHMENT,B71-4304801,SIMON SUSHI,2013-02-04,1659061 ONTARIO INC,,,409 SPADINA AVE,"TORONTO, ON",M5T 2G6,11,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2017-05-07,2017-07-02
76166,EATING OR DRINKING ESTABLISHMENT,B71-4183504,ROOFTOP LOUNGE & THOMPSON DINER,2011-06-24,HOTEL 550 WELLINGTON GP LTD,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,SEATING CAPACITY OVER 30;,** TO INCLUDE 3 OUTDOOR DINING AREAS ON PRIVATE PROPERTY**,TO INCLUDE LOBBY BAR - also o/a WILDFLOWER LOUNGE,,VICTUALLING;,2017-08-25,2017-08-25
77210,EATING OR DRINKING ESTABLISHMENT,B71-4648786,PARAMOUNT FINE FOODS,2016-06-13,VERSATILE HOLDINGS INC,,,85 FRONT ST E,"TORONTO, ON",M5E 1B8,13,SEATING CAPACITY OVER 30;CAFE ON PUBLIC PROPERTY - FRONT;,,,,VICTUALLING;,2018-06-13,2018-06-13
77298,EATING OR DRINKING ESTABLISHMENT,B71-4735559,SPORTS CAFE DANFORTH,2017-09-11,SPORTS CAFE DANFORTH LTD,,,630 DANFORTH AVE,"TORONTO, ON",M4K 1R3,14,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2018-07-08,2018-06-29
77669,EATING OR DRINKING ESTABLISHMENT,B71-4427273,RAVISOUPS,2014-09-05,1865994 ONTARIO INC,,,9 CHARLES ST W,"TORONTO, ON",M4Y 1R4,13,NO SEATING ACCOMMODATION;,TO INCLUDE PATIO ON PRIVATE PROPERTY,,,REFRESHMENTS;,2018-10-11,2018-11-02
77848,EATING OR DRINKING ESTABLISHMENT,B71-4657231,THE BOIL BAR,2016-08-25,2476134 ONTARIO INC,,,664 YONGE ST,"TORONTO, ON",M4Y 2A6,13,SEATING CAPACITY UNDER 30;,,,,REFRESHMENTS;VICTUALLING;,2018-11-25,2019-01-02
77980,EATING OR DRINKING ESTABLISHMENT,B71-4810505,DIM SUM PLUS,2018-02-20,10582751 CANADA INC,,,261 SPADINA AVE,"TORONTO, ON",M5T 2E3,10,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2019-01-03,2019-01-03
78126,EATING OR DRINKING ESTABLISHMENT,B71-4723313,JAMES CHEESE BACK RIBS,2017-06-02,CONSTELLATE INC,,,409 SPADINA AVE,"TORONTO, ON",M5T 2G6,11,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2019-02-14,2019-02-14
78549,EATING OR DRINKING ESTABLISHMENT,B71-4895420,DAGU RICE NOODLE,2019-02-14,2665688 ONTARIO LTD,,,409 SPADINA AVE,"TORONTO, ON",M5T 2G6,11,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2019-06-14,2019-06-14
78970,EATING OR DRINKING ESTABLISHMENT,B71-4424048,COLETTE GRAND CAFE AND BAKERY,2014-07-08,COLETTECORP INC,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,SEATING CAPACITY OVER 30;,* TO INCLUDE OUTDOOR DINING AREA ON PRIVATE PROPERTY *,,,VICTUALLING;,2019-10-08,2021-04-29
79563,EATING OR DRINKING ESTABLISHMENT,B71-4836008,PARAMOUNT FINE FOODS,2018-06-13,2377556 ONTARIO INC,,,85 FRONT ST E,"TORONTO, ON",M5E 1B8,13,SEATING CAPACITY OVER 30;CAFE ON PUBLIC PROPERTY - FRONT;,,,,VICTUALLING;,2020-06-26,2020-06-26
79741,EATING OR DRINKING ESTABLISHMENT,B71-4841562,SIMPLE FRESH,2018-07-08,2632647 ONTARIO LTD,,,630 DANFORTH AVE,"TORONTO, ON",M4K 1R3,14,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2020-09-08,2022-01-12
80877,EATING OR DRINKING ESTABLISHMENT,B71-4892603,THE BOIL BAR,2018-12-19,2476134 ONTARIO INC,,,664 YONGE ST,"TORONTO, ON",M4Y 2A6,13,SEATING CAPACITY UNDER 30;,,,,VICTUALLING;,2021-05-20,2022-01-22
81049,EATING OR DRINKING ESTABLISHMENT,B71-4645993,EVOO RISTORANTE WINE BAR,2016-02-08,2486480 ONTARIO INC,,,138 AVENUE RD,"TORONTO, ON",M5R 2H6,11,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2021-07-09,2022-07-14
81620,EATING OR DRINKING ESTABLISHMENT,B71-4734355,1 KITCHEN,2017-08-25,1130625 BC LTD,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,SEATING CAPACITY OVER 30;,** TO INCLUDE 3 OUTDOOR DINING AREAS ON PRIVATE PROPERTY**,TO INCLUDE LOBBY BAR - also o/a WILDFLOWER LOUNGE,,VICTUALLING;,2022-01-25,2022-09-02
81785,EATING OR DRINKING ESTABLISHMENT,B71-4713478,A&W RESTAURANT,2017-03-24,JAJ RESTAURANT LTD,,,500 BLOOR ST W,"TORONTO, ON",M5S 1Y3,11,SEATING CAPACITY UNDER 30;,,,,REFRESHMENTS;,2022-03-24,2022-03-24
81845,EATING OR DRINKING ESTABLISHMENT,B71-4887715,GREENTEA RESTAURANT,2019-01-05,2572951 ONTARIO INC,,,261 SPADINA AVE,"TORONTO, ON",M5T 2E3,10,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2022-04-06,2022-06-02
81850,EATING OR DRINKING ESTABLISHMENT,B71-4945416,MAGICAL TASTE OF CHINA,2019-06-14,MAGICAL TASTE OF CHINA INC,,,409 SPADINA AVE,"TORONTO, ON",M5T 2G6,11,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2022-04-07,2022-04-07
82985,EATING OR DRINKING ESTABLISHMENT,B71-5200241,MR. CHIMAEK - NORTH YORK,2022-01-30,2848374 ONTARIO INC,,,664 YONGE ST,"TORONTO, ON",M4Y 2A6,13,SEATING CAPACITY UNDER 30;,,,,VICTUALLING;,2023-03-31,2023-03-31
83876,EATING OR DRINKING ESTABLISHMENT,B71-5204036,GREENTEA RESTAURANT,2022-05-10,2572951 ONTARIO INC,,,261 SPADINA AVE,"TORONTO, ON",M5T 2E3,10,SEATING CAPACITY OVER 30;,,,,VICTUALLING;,2024-03-12,2024-03-12
84677,EATING OR DRINKING ESTABLISHMENT,B71-5202594,EAT YET,2022-04-07,2031863 ONTARIO INC,,,409 SPADINA AVE,"TORONTO, ON",M5T 2G6,11,SEATING CAPACITY OVER 30;,,,,EATING/DRINKING;,2025-01-21,2025-01-21
85077,EATING OR DRINKING ESTABLISHMENT,B71-5416270,6THIRTY COFFEE AND CORP,2024-03-04,6THIRTY COFFEE AND CORP,,,630 DANFORTH AVE,"TORONTO, ON",M4K 1R3,14,SEATING CAPACITY UNDER 30;,,,,EATING/DRINKING;,2025-06-03,2025-07-03
85097,EATING OR DRINKING ESTABLISHMENT,B71-5408869,BANBUDIAN BISTRO,2024-03-12,2761675 ONTARIO INC,,,261 SPADINA AVE,"TORONTO, ON",M5T 2E3,10,SEATING CAPACITY OVER 30;SHARED ADDRESS;,,,,EATING/DRINKING;,2025-06-10,2025-07-02
87444,EATING OR DRINKING ESTABLISHMENT,B71-4293527,SPORTSNET GRILL,2012-03-27,2320616 ONTARIO INC,4165152565,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,SEATING CAPACITY OVER 30;,,,,EATING/DRINKING;,,2026-02-17
88295,EATING OR DRINKING ESTABLISHMENT,B71-4651647,HIBACHI,2016-06-10,1944683 ONTARIO INC,4163673888,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,SEATING CAPACITY OVER 30;PATIO ON PRIVATE PROPERTY - FRONT;,,,,EATING/DRINKING;,,2025-04-14
88507,EATING OR DRINKING ESTABLISHMENT,B71-4719162,5 ELEMENTS,2017-05-04,"LAMANNA, CARMELINA",4165671190,,131 AVENUE RD,"TORONTO, ON",M5R 2H7,11,SEATING CAPACITY UNDER 40;CAFE ON PUBLIC PROPERTY - SIDE;,,,,EATING/DRINKING;,,2026-03-31
89832,EATING OR DRINKING ESTABLISHMENT,B71-5105657,A&W,2021-03-02,SHIAZ HOSPITALITY INC,,,85 FRONT ST E,"TORONTO, ON",M5E 1B8,13,SEATING CAPACITY OVER 30;,,,,EATING/DRINKING;,,2025-02-20
90324,EATING OR DRINKING ESTABLISHMENT,B71-5202094,A&W,2022-03-24,1000027905 ONTARIO INC,6479603940,,500 BLOOR ST W,"TORONTO, ON",M5S 1Y3,11,SEATING CAPACITY UNDER 30;,,,,EATING/DRINKING;,,2026-02-10
91116,EATING OR DRINKING ESTABLISHMENT,B71-5308316,1 HOTEL LOBBY BAR/1 HOTEL TORONTO/1 KITCHEN/CASA MADERA/,2023-03-03,MOHARI CANADA INC,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,SEATING CAPACITY OVER 30;PATIO ON PRIVATE PROPERTY - SIDE;SHARED ADDRESS;,Additional Operating Name- HARRIET'S ROOFTOP,,,EATING/DRINKING;,,2026-02-06
91126,EATING OR DRINKING ESTABLISHMENT,B71-5243907,ADRAK YORKVILLE,2023-03-08,2717089 ONTARIO INC,,,138 AVENUE RD,"TORONTO, ON",M5R 2H6,11,SEATING CAPACITY OVER 30;,,,,EATING/DRINKING;,,2026-01-30
91188,EATING OR DRINKING ESTABLISHMENT,B71-5317148,A BBQ HOUSE,2023-03-31,14605144 CANADA INC,,,664 YONGE ST,"TORONTO, ON",M4Y 2A6,13,SEATING CAPACITY UNDER 30;,,,,EATING/DRINKING;,,2026-01-20
92192,EATING OR DRINKING ESTABLISHMENT,B71-5439731,1 ZERO 2 DELIGHTS,2024-05-29,1 ZERO 2 DELIGHTS INC,,,102 FORT YORK BLVD,"TORONTO, ON",M5V 4A7,10,SEATING CAPACITY UNDER 30;,,,,EATING/DRINKING;,,2025-05-27
92731,EATING OR DRINKING ESTABLISHMENT,B71-5503639,A1 STONE POT,2025-01-21,15741432 CANADA INC,,,409 SPADINA AVE,"TORONTO, ON",M5T 2G6,11,SEATING CAPACITY OVER 30;,,,,EATING/DRINKING;,,2026-01-30
